global_step,optimizer_steps,actor_updates,replay_size,critic_loss,actor_loss,rl_actor_loss,behaviour_cloning_loss,behaviour_cloning_coefficient,q1_mean,q2_mean,target_q_mean
18000,4250,1125,47998,213.25537747192382,-14.715428851899647,-14.806784705510216,0.1019366170974478,0.8961650000000001,14.304293670654296,14.299573211669921,14.345626983642578
19000,4375,1187,48998,169.60947485351562,-14.874125342215262,-14.96649125314528,0.10376962124099655,0.8902275000000001,14.60879037475586,14.623671333312988,14.60490576171875
20000,4500,1250,49998,95.63018601226807,-15.249763836936346,-15.345920653570266,0.10874447480790199,0.88429,14.784066703796388,14.771634559631348,14.775569198608398
21000,4625,1312,50998,156.9618712310791,-15.709186707773517,-15.812202453613281,0.11727692313011616,0.8783525,15.20009454345703,15.185183784484863,15.20431647491455
22000,4750,1375,51998,223.70590254211425,-16.64143403371175,-16.752685456048873,0.1275355543882128,0.8724149999999999,15.906187240600586,15.917623672485352,15.92555551147461
23000,4875,1437,52998,207.62198983764648,-16.665287786914455,-16.773441591570453,0.12481751551310863,0.8664775,16.052961700439454,16.01517781829834,16.051695388793945
24000,5000,1500,53998,159.43130210876464,-17.036198464650955,-17.14426575009785,0.12558243612921427,0.86054,16.507773162841797,16.55927671813965,16.520227699279786
25000,5125,1562,54998,142.95042936706542,-17.584304532697125,-17.703582332980247,0.13958422551232,0.8546024999999999,16.97642583465576,16.95778981781006,16.965869606018067
26000,5250,1625,55998,156.63949388122558,-17.630709224277073,-17.75027605087038,0.14087426177566015,0.848665,17.13688688659668,17.1614753036499,17.142809173583984
27000,5375,1687,56998,186.52957339477538,-18.122992623236872,-18.243792303146854,0.14335182561509072,0.8427275,17.520870018005372,17.5431361618042,17.52808975982666
28000,5500,1750,57998,201.17949713134766,-18.84977286202567,-18.97857702346075,0.15392062233553994,0.83679,17.98573154449463,17.965730010986327,17.99654179382324
29000,5625,1812,58998,144.366060836792,-18.936385400833622,-19.06342355666622,0.1528815487700124,0.8308525,18.352687149047853,18.365845748901368,18.361061515808107
30000,5750,1875,59998,220.69601391601563,-19.388148671104794,-19.521512228345113,0.1616877523797845,0.824915,18.901834182739258,18.893458305358887,18.916517578125
31000,5875,1937,60998,168.39827017211914,-19.64632461917016,-19.787173455761327,0.17197519192291844,0.8189775,19.144026878356932,19.158337272644044,19.12744010925293
32000,6000,2000,61998,152.43848434448242,-19.86704052819146,-20.006945746285574,0.17206742212412848,0.81304,19.17725058746338,19.171013748168946,19.19556866455078
33000,6125,2062,62998,208.52032626342773,-20.674447244213475,-20.816936062228294,0.1765389158240249,0.8071025,19.97740187072754,19.957946792602538,19.963063491821288
34000,6250,2125,63998,188.695943069458,-20.81443835061694,-20.949964856344558,0.16915006226017362,0.801165,19.98488815307617,19.990502311706543,20.010681671142578
