step,distFromStart,speedX,speedY,angle,trackPos,sensorFront,curLapTime,lastLapTime,steer,accel,brake,gear
68,2743.76,14.4449,-3.98583e-08,-1.25567e-06,-1.04904e-06,159.953,0.4,0.0,3.60023641816694e-05,0.88,0.0,1
69,2743.84,15.2945,-4.56155e-08,-1.25567e-06,-1.04904e-06,159.87,0.42,0.0,4.867329501632375e-05,1.0,0.0,1
70,2743.93,16.1729,9.26885e-09,-1.25567e-06,-1.14441e-06,159.783,0.44,0.0,6.378914642305689e-05,1.0,0.0,1
71,2744.02,17.0372,3.2432e-09,-1.25567e-06,-1.14441e-06,159.69,0.46,0.0,8.167702692827677e-05,0.88,0.0,1
72,2744.12,17.8888,-6.83871e-09,-1.25567e-06,-1.14441e-06,159.593,0.48,0.0,0.00010268929418117294,1.0,0.0,1
73,2744.23,18.8209,8.12019e-10,-1.25567e-06,-1.14441e-06,159.48,0.502,0.0,0.00012719354615740863,0.88,0.0,1
74,2744.34,19.6635,-3.13034e-09,-1.25567e-06,-1.14441e-06,159.373,0.522,0.0,0.00015593641591828199,1.0,0.0,1
75,2744.45,20.5115,-5.76909e-09,-1.25567e-06,-1.23978e-06,159.261,0.542,0.0,0.00018914342315017447,0.88,0.0,1
76,2744.57,21.356,-2.86355e-09,-1.25567e-06,-1.23978e-06,159.145,0.562,0.0,0.00022699634485101334,1.0,0.0,1
77,2744.69,22.2046,-1.15303e-09,-1.25567e-06,-1.23978e-06,159.024,0.582,0.0,0.00026975674048028593,0.88,0.0,1
78,2744.81,23.0494,2.2119e-09,-1.25567e-06,-1.33514e-06,158.898,0.602,0.0,0.0003177318968280961,1.0,0.0,1
79,2744.94,23.8982,-1.59905e-09,-1.25567e-06,-1.33514e-06,158.767,0.622,0.0,0.0003712722688442436,0.88,0.0,1
80,2745.08,24.7429,-2.0011e-09,-1.25567e-06,-1.33514e-06,158.632,0.642,0.0,0.00043070443698502267,1.0,0.0,1
81,2745.22,25.5912,-6.71086e-09,-1.25567e-06,-1.43051e-06,158.492,0.662,0.0,0.000496403091865832,0.88,0.0,1
82,2745.36,26.4353,0.00215614,-1.36534e-05,-1.43051e-06,158.343,0.682,0.0,0.0005687364846301935,1.0,0.0,1
83,2745.51,27.2829,0.00292299,-3.27269e-05,-1.43051e-06,158.188,0.702,0.0,0.0006346178772498265,0.88,0.0,1
84,2745.67,28.1263,0.00333103,-5.22772e-05,-1.52588e-06,158.028,0.722,0.0,0.0007039138726729782,1.0,0.0,1
85,2745.83,28.9734,0.00356041,-7.23044e-05,-1.52588e-06,157.863,0.742,0.0,0.0007798449479610828,0.88,0.0,1
86,2745.99,29.7853,0.00377309,-9.18547e-05,-1.52588e-06,157.693,0.762,0.0,0.0008639257069628435,0.88,0.0,1
87,2746.16,30.6137,0.00389153,-0.000112359,-1.62125e-06,157.519,0.782,0.0,0.0009569421237628094,1.0,0.0,1
88,2746.33,31.4611,0.00394251,-0.000133816,-1.62125e-06,157.34,0.802,0.0,0.0010594553196306027,0.88,0.0,1
89,2746.51,32.2928,0.00401766,-0.000155751,-1.71661e-06,157.156,0.822,0.0,0.0011717636856657567,0.88,0.0,1
90,2746.69,33.1273,0.00407831,-0.000177685,-1.71661e-06,156.967,0.842,0.0,0.001294120603565567,0.88,0.0,1
91,2746.88,33.9776,0.00409912,-0.00020105,-1.71661e-06,156.774,0.862,0.0,0.0014269807659602583,0.88,0.0,1
92,2747.07,34.8492,0.00631677,-0.000239197,7.34329e-06,156.571,0.882,0.0,0.0015706199792082068,0.88,0.0,1
93,2747.26,35.7434,0.0068844,-0.000288788,3.78609e-05,156.359,0.902,0.0,0.001710789100980891,0.88,0.0,1
94,2747.47,36.6588,0.0068669,-0.000343148,6.82831e-05,156.141,0.922,0.0,0.0018571052778904602,0.88,0.0,1
95,2747.67,37.5924,0.0065157,-0.000400368,9.88007e-05,155.917,0.942,0.0,0.0020137015547006523,0.88,0.0,1
96,2747.88,38.5405,0.00587471,-0.000461404,0.000129223,155.686,0.962,0.0,0.0021827574725460314,0.88,0.0,1
97,2748.1,39.5006,0.0049393,-0.000527207,0.00015974,155.449,0.982,0.0,0.0023658407407448046,0.88,0.0,1
98,2748.35,40.5726,0.0056013,-0.000623528,0.000193214,155.175,1.004,0.0,0.0025643336657416053,0.88,0.0,1
99,2748.57,41.5639,0.00397542,-0.000732247,0.000223637,154.913,1.024,0.0,0.0027671847993484076,0.88,0.0,1
100,2748.81,42.5727,0.00148708,-0.000854317,0.000254154,154.642,1.044,0.0,0.002988380025159325,0.88,0.0,1
101,2749.05,43.6004,-0.00153392,-0.000987355,0.000284576,154.362,1.064,0.0,0.0032300153390118222,0.88,0.0,1
102,2749.29,44.6485,-0.00503228,-0.00113279,0.000345612,154.073,1.084,0.0,0.0034931635034840553,0.88,0.0,1
103,2749.54,45.7181,-0.00708522,-0.00130731,0.000406551,153.768,1.104,0.0,0.0037772927226662916,0.88,0.0,1
104,2749.8,46.7849,-0.0116569,-0.00151283,0.000467587,153.448,1.124,0.0,0.004071255567666248,0.88,0.0,2
105,2750.06,47.8075,-0.0169703,-0.00174076,0.000528526,153.116,1.144,0.0,0.004388556339978626,0.88,0.0,2
106,2750.33,48.7976,-0.0194812,-0.0019992,0.000610828,152.768,1.164,0.0,0.004733471387930866,0.88,0.0,2
107,2750.61,49.7682,-0.0217062,-0.00227958,0.000702381,152.409,1.184,0.0,0.005089253967477008,0.88,0.0,2
108,2750.89,50.7313,-0.0236184,-0.00256902,0.000815201,152.04,1.204,0.0,0.005459577114067357,0.88,0.0,2
109,2751.17,51.6881,-0.022581,-0.00287944,0.000940228,151.66,1.224,0.0,0.005849890299510614,0.88,0.0,2
110,2751.46,52.6382,-0.0222401,-0.00320656,0.00109282,151.269,1.244,0.0,0.0062503083758986885,0.88,0.0,2
111,2751.76,53.5774,-0.0185343,-0.00355035,0.00126972,150.868,1.264,0.0,0.0066743515179869695,0.88,0.0,2
112,2752.06,54.4979,-0.0145589,-0.00390083,0.00147409,150.459,1.284,0.0,0.007113109563026656,0.88,0.0,2
113,2752.36,55.3884,-0.00641052,-0.00425464,0.00170908,150.043,1.304,0.0,0.007580272061147798,0.88,0.0,2
114,2752.67,56.2407,0.00149919,-0.00460416,0.00198059,149.623,1.324,0.0,0.008068915185960816,0.88,0.0,2
115,2752.99,57.0631,0.0111245,-0.00495845,0.00229177,149.197,1.344,0.0,0.008601096681049348,0.88,0.0,2
116,2753.31,57.8756,0.0173472,-0.00532228,0.00263653,148.763,1.364,0.0,0.009183891257802178,0.88,0.0,2
117,2753.63,58.693,0.0234752,-0.005709,0.00301495,148.316,1.384,0.0,0.009851065858088938,0.88,0.0,2
118,2753.96,59.5215,0.0283198,-0.00613672,0.00342989,147.851,1.404,0.0,0.010609633967344255,0.88,0.0,2
119,2754.29,60.3633,0.0291373,-0.00659639,0.00388145,147.371,1.424,0.0,0.011470943732568722,0.88,0.0,2
120,2754.63,61.22,0.0302775,-0.00709135,0.0043788,146.874,1.444,0.0,0.012463483436397655,0.88,0.0,2
121,2754.97,62.0919,0.0329717,-0.00765497,0.00491581,146.349,1.464,0.0,0.01357795758464407,0.88,0.0,2
122,2755.32,62.9791,0.0323562,-0.00829536,0.00550785,145.793,1.484,0.0,0.014644923869173841,0.88,0.0,2
123,2755.67,63.8813,0.0293479,-0.00900728,0.00614862,145.207,1.504,0.0,0.01568453372147768,0.88,0.0,2
124,2756.03,64.7981,0.0240952,-0.00979263,0.00684738,144.589,1.524,0.0,0.016708327590019337,0.88,0.0,2
125,2756.39,65.729,0.016308,-0.0106571,0.00760717,143.936,1.544,0.0,0.017722912483771926,0.88,0.0,2
126,2756.76,66.6736,0.00542813,-0.0116084,0.00843344,143.245,1.564,0.0,0.018733448533093763,0.88,0.0,2
127,2757.14,67.6316,-0.00933193,-0.0126579,0.00933361,142.51,1.584,0.0,0.01974137790847122,0.88,0.0,2
128,2757.51,68.6027,-0.0289971,-0.0138181,0.0103101,141.724,1.604,0.0,0.020750987400035132,0.88,0.0,2
129,2757.9,69.5859,-0.0547516,-0.015106,0.0113689,140.879,1.624,0.0,0.021768688582566635,0.88,0.0,2
130,2758.29,70.5789,-0.0871565,-0.016537,0.0125164,139.965,1.644,0.0,0.022801929096955963,0.88,0.0,2
131,2758.68,71.5796,-0.126419,-0.0181263,0.0137614,138.97,1.664,0.0,0.023727466478333646,0.88,0.0,2
132,2759.08,72.5865,-0.172848,-0.0198873,0.0151102,137.883,1.684,0.0,0.024710711751615794,0.88,0.0,2
133,2759.49,73.5988,-0.226885,-0.0218352,0.016575,136.684,1.704,0.0,0.025742654590030875,0.88,0.0,2
