repeat,episode,step,distance_m,distance_from_start_m,speed_kmh,heading_angle_rad,track_position,target_track_position,racing_line_error,minimum_track_sensor_m,raw_steer,steering_delta,raw_longitudinal,control_accel,control_brake,control_gear,reward,reward_forward_velocity,reward_racing_line_factor,reward_steering_rate_penalty,reward_terminal_penalty,lookahead_curvature_0m,lookahead_curvature_25m,lookahead_curvature_50m,lookahead_curvature_75m,lookahead_curvature_100m,lookahead_curvature_125m,lookahead_curvature_150m,lookahead_curvature_175m,lookahead_curvature_200m,lookahead_curvature_225m,lookahead_curvature_250m,lookahead_curvature_275m,physical_failure,termination_reason
1,1,2034,1138.17,1038.17,97.7296,0.0438281,0.0436949,-0.2119297426657424,0.2556246426657424,7.076769828796387,-0.7309792637825012,0.2689746618270874,1.0,1.0,0.0,6,0.2734868996999546,0.3909184,0.6996009901297933,-0.0,0.0,0.009824464097619057,0.013283204287290573,0.019406286999583244,0.037206172943115234,0.040598612278699875,0.04035830497741699,0.04040271416306496,0.04043786600232124,0.06394847482442856,0.09521595388650894,0.11549697816371918,0.11489824950695038,False,
1,1,2035,1138.72,1038.71,97.9503,0.0620338,0.0388046,-0.20975282282282262,0.24855742282282262,6.929220199584961,1.0,1.7309792637825012,1.0,1.0,0.0,6,0.2693731500533126,0.3918012,0.6875250766289449,-0.0,0.0,0.009625189006328583,0.013469928875565529,0.019635409116744995,0.03745843842625618,0.04058820754289627,0.04035884514451027,0.040403611958026886,0.04042333364486694,0.06459008902311325,0.09591779857873917,0.11545541882514954,0.11490148305892944,False,
1,1,2036,1139.26,1039.26,98.2167,0.0782432,0.0325461,-0.2074405105105106,0.2399866105105106,6.7911601066589355,0.9999990463256836,-9.5367431640625e-07,1.0,1.0,0.0,6,0.2666742756908443,0.3928668,0.6787905613068966,-0.0,0.0,0.009414448402822018,0.013660158030688763,0.01986883021891117,0.03766893967986107,0.04057760536670685,0.04035939276218414,0.04040442034602165,0.040408529341220856,0.06524374336004257,0.09663265943527222,0.11541354656219482,0.11490476876497269,False,
1,1,2037,1139.81,1039.8,98.6003,0.0860863,0.0256769,-0.20517024024024058,0.23084714024024058,6.70127010345459,0.9920176267623901,-0.007981419563293457,1.0,1.0,0.0,6,0.26798366955261266,0.3944012,0.6794697114324516,-0.0,0.0,0.009207542985677719,0.01384692545980215,0.020116806030273438,0.037875328212976456,0.040567196905612946,0.04035992920398712,0.040405139327049255,0.04039399325847626,0.0658854991197586,0.09733376652002335,0.1153724268078804,0.11490800231695175,False,
1,1,2038,1140.35,1040.35,98.9833,0.0846342,0.0187593,-0.20285792792792856,0.22161722792792857,6.664219856262207,0.00628219498321414,-0.985735431779176,1.0,1.0,0.0,6,0.273300904075429,0.3959332,0.6902702376952199,-0.0,0.0,0.00899684987962246,0.014037112705409527,0.020414695143699646,0.03808549419045448,0.04055659845471382,0.04036079719662666,0.040405869483947754,0.04037918895483017,0.06654251366853714,0.09804770350456238,0.11533056199550629,0.11491119861602783,False,
1,1,2039,1140.9,1040.9,99.3449,0.0804022,0.011606,-0.20054561561561557,0.21215161561561557,6.641200065612793,0.9436110258102417,0.9373288308270276,0.9999999403953552,0.9999999403953552,0.0,6,0.2798753532322531,0.3973796,0.7043022672332779,-0.0,0.0,0.008786109276115894,0.014206635765731335,0.020712651312351227,0.03829570859670639,0.0405459962785244,0.040361713618040085,0.04040659964084625,0.04036438465118408,0.06720384210348129,0.09876180440187454,0.11528868228197098,0.11491338908672333,False,
1,1,2040,1141.46,1041.45,99.6628,0.0704786,0.00501862,-0.19788760947760975,0.20290622947760975,6.654469966888428,0.30458956956863403,-0.6390214562416077,1.0,1.0,0.0,6,0.28869957715996936,0.39865120000000004,0.724190914664171,-0.0,0.0,0.00862161722034216,0.01436814945191145,0.021010540425777435,0.038505878299474716,0.040535394102334976,0.04036262631416321,0.04040733352303505,0.04057684913277626,0.0678650289773941,0.09947574883699417,0.11525006592273712,0.11491558700799942,False,
1,1,2041,1142.01,1042.01,99.9468,0.0567613,-0.000635433,-0.19451167970168018,0.1938762467016802,6.6974101066589355,0.9997876882553101,0.695198118686676,0.9999985694885254,0.9999985694885254,0.0,6,0.2989538469447929,0.3997872,0.7477824376187954,-0.0,0.0,0.008543623611330986,0.01453263871371746,0.021313918754458427,0.03869190812110901,0.04052460193634033,0.040363557636737823,0.040408097207546234,0.040861789137125015,0.06853839010000229,0.10020284354686737,0.11521599441766739,0.1149178221821785,False,
1,1,2042,1142.57,1042.56,100.17,0.0398613,-0.0050293,-0.19119603438603502,0.18616673438603504,6.771049976348877,0.8424920439720154,-0.15729564428329468,0.9999992251396179,0.9999992251396179,0.0,6,0.309801033726534,0.40068,0.7731881644367925,-0.0,0.0,0.008467023260891438,0.01469418779015541,0.021611874923110008,0.03884856030344963,0.04051399976015091,0.04036447033286095,0.04040900990366936,0.04114164039492607,0.06919971853494644,0.10091334581375122,0.1151825338602066,0.11492001265287399,False,
1,1,2043,1143.12,1043.12,100.363,0.0208099,-0.00796118,-0.18782010461010545,0.17985892461010544,6.873239994049072,0.8213602900505066,-0.02113175392150879,0.9999886751174927,0.9999886751174927,0.0,6,0.32080678032847554,0.401452,0.7991161591634257,-0.0,0.0,0.008389046415686607,0.014858641661703587,0.02197560854256153,0.03900802507996559,0.04050320386886597,0.04036547988653183,0.04040994122624397,0.04142652079463005,0.06987312436103821,0.10163506865501404,0.11514846980571747,0.11492224782705307,False,
