attempt_id,block,position,agent_trial,agent_id,agent_label,seed,started_at,finished_at,valid_attempt,clean_completion,failure_category,laps_completed,lap_time_seconds,distance_m,steps,total_score,mean_speed_kmh,max_speed_kmh,off_track_steps,off_track_events,reverse_steps,reverse_events,stall_events,damage_delta,termination_reason,telemetry_path
b008-p05-agent8_final,8,5,8,agent8_final,Agent 8 final (sensor-only TD3),732724,2026-09-06T21:59:15.907210+00:00,2026-09-06T21:59:21.151265+00:00,True,False,off_track,0,,2034.29,2987,350563.4609681065,117.58175238135253,187.161,2,1,0,0,0,0.0,off track,telemetry/b008-p05-agent8_final.csv.gz
b009-p01-agent7_v4,9,1,9,agent7_v4,Agent 7 v4 (race-line TD3),732823,2026-09-06T21:59:32.909602+00:00,2026-09-06T21:59:42.768199+00:00,True,True,clean_completion,1,103.366,2943.1,4937,494555.367064127,100.37393158017015,127.156,0,0,0,0,0,0.0,target_laps_completed,telemetry/b009-p01-agent7_v4.csv.gz
b009-p02-agent8_final,9,2,9,agent8_final,Agent 8 final (sensor-only TD3),732824,2026-09-06T21:59:54.524513+00:00,2026-09-06T21:59:59.342346+00:00,True,False,off_track,0,,2036.43,2993,351209.01399054285,117.54894011463415,191.103,2,1,0,0,0,0.0,off track,telemetry/b009-p02-agent8_final.csv.gz
b009-p03-rule_based,9,3,9,rule_based,Rule-based,732820,2026-09-06T22:00:11.079576+00:00,2026-09-06T22:00:16.594614+00:00,True,True,clean_completion,1,98.398,2943.98,4712,504489.8503216592,107.11125436546476,201.177,0,0,0,0,0,0.0,target_laps_completed,telemetry/b009-p03-rule_based.csv.gz
b009-p04-map_aware,9,4,9,map_aware,Map-aware,732821,2026-09-06T22:00:28.369965+00:00,2026-09-06T22:00:33.527569+00:00,True,True,clean_completion,1,93.006,2944.22,4467,501272.739280864,112.60626387284532,208.152,0,0,0,0,0,0.0,target_laps_completed,telemetry/b009-p04-map_aware.csv.gz
b009-p05-dyna_q_final,9,5,9,dyna_q_final,Dyna-Q final,732822,2026-09-06T22:00:46.445426+00:00,2026-09-06T22:01:02.088134+00:00,True,False,completed_unclean,1,283.818,2943.28,13848,518760.64615969145,38.1035226404535,80.3343,242,6,0,0,0,0.0,target_laps_completed,telemetry/b009-p05-dyna_q_final.csv.gz
b010-p01-map_aware,10,1,10,map_aware,Map-aware,732921,2026-09-06T22:01:13.865359+00:00,2026-09-06T22:01:19.185760+00:00,True,True,clean_completion,1,90.97,2943.59,4374,501213.2878900385,114.92551587105625,205.081,0,0,0,0,0,0.0,target_laps_completed,telemetry/b010-p01-map_aware.csv.gz
b010-p02-agent7_v4,10,2,10,agent7_v4,Agent 7 v4 (race-line TD3),732923,2026-09-06T22:01:30.950527+00:00,2026-09-06T22:01:40.841804+00:00,True,True,clean_completion,1,103.366,2943.1,4937,494555.367064127,100.37393158017015,127.156,0,0,0,0,0,0.0,target_laps_completed,telemetry/b010-p02-agent7_v4.csv.gz
b010-p03-dyna_q_final,10,3,10,dyna_q_final,Dyna-Q final,732922,2026-09-06T22:01:53.794006+00:00,2026-09-06T22:01:58.654012+00:00,True,False,off_track,0,,932.274,4826,160306.66123166564,34.29228985598839,68.7124,276,7,0,0,0,14.0,out of bounds,telemetry/b010-p03-dyna_q_final.csv.gz
b010-p04-agent8_final,10,4,10,agent8_final,Agent 8 final (sensor-only TD3),732924,2026-09-06T22:02:10.418488+00:00,2026-09-06T22:02:15.814083+00:00,True,False,off_track,0,,2050.33,3023,353591.65800242,117.09947630271255,187.161,3,1,0,0,0,0.0,off track,telemetry/b010-p04-agent8_final.csv.gz
b010-p05-rule_based,10,5,10,rule_based,Rule-based,732920,2026-09-06T22:02:27.553922+00:00,2026-09-06T22:02:33.288949+00:00,True,True,clean_completion,1,98.398,2943.98,4712,504489.8503216592,107.11125436546476,201.177,0,0,0,0,0,0.0,target_laps_completed,telemetry/b010-p05-rule_based.csv.gz
b011-p01-dyna_q_final,11,1,11,dyna_q_final,Dyna-Q final,733022,2026-09-06T22:02:46.153061+00:00,2026-09-06T22:02:48.080923+00:00,True,False,off_track,0,,342.788,1407,58271.281920668844,42.05257933546553,71.3267,17,1,0,0,0,0.0,out of bounds,telemetry/b011-p01-dyna_q_final.csv.gz
b011-p02-rule_based,11,2,11,rule_based,Rule-based,733020,2026-09-06T22:02:59.828219+00:00,2026-09-06T22:03:05.411063+00:00,True,True,clean_completion,1,98.398,2943.98,4712,504489.8503216592,107.11125436546476,201.177,0,0,0,0,0,0.0,target_laps_completed,telemetry/b011-p02-rule_based.csv.gz
b011-p03-map_aware,11,3,11,map_aware,Map-aware,733021,2026-09-06T22:03:17.163952+00:00,2026-09-06T22:03:22.338280+00:00,True,True,clean_completion,1,90.97,2943.59,4374,501213.2878900385,114.92551587105625,205.081,0,0,0,0,0,0.0,target_laps_completed,telemetry/b011-p03-map_aware.csv.gz
b011-p04-agent7_v4,11,4,11,agent7_v4,Agent 7 v4 (race-line TD3),733023,2026-09-06T22:03:34.107386+00:00,2026-09-06T22:03:43.535523+00:00,True,True,clean_completion,1,103.366,2943.1,4937,494555.367064127,100.37393158017015,127.156,0,0,0,0,0,0.0,target_laps_completed,telemetry/b011-p04-agent7_v4.csv.gz
b011-p05-agent8_final,11,5,11,agent8_final,Agent 8 final (sensor-only TD3),733024,2026-09-06T22:03:55.287262+00:00,2026-09-06T22:04:00.822575+00:00,True,False,off_track,0,,2030.27,3025,349894.4721261405,115.96506097953718,187.161,2,1,0,0,0,0.0,off track,telemetry/b011-p05-agent8_final.csv.gz
b012-p01-dyna_q_final,12,1,12,dyna_q_final,Dyna-Q final,733122,2026-09-06T22:04:13.598754+00:00,2026-09-06T22:04:29.938241+00:00,True,False,completed_unclean,1,298.424,2943.14,14578,521802.8745910161,36.33359939806558,85.7399,126,4,0,0,0,0.0,target_laps_completed,telemetry/b012-p01-dyna_q_final.csv.gz
b012-p02-rule_based,12,2,12,rule_based,Rule-based,733120,2026-09-06T22:04:41.736208+00:00,2026-09-06T22:04:47.233976+00:00,True,True,clean_completion,1,98.398,2943.98,4712,504489.8503216592,107.11125436546476,201.177,0,0,0,0,0,0.0,target_laps_completed,telemetry/b012-p02-rule_based.csv.gz
b012-p03-map_aware,12,3,12,map_aware,Map-aware,733121,2026-09-06T22:04:58.984127+00:00,2026-09-06T22:05:03.705763+00:00,True,False,off_track,0,,2027.32,3747,350722.3387735009,94.0670669890579,186.933,45,1,0,0,1,0.0,stuck,telemetry/b012-p03-map_aware.csv.gz
b012-p04-agent8_final,12,4,12,agent8_final,Agent 8 final (sensor-only TD3),733124,2026-09-06T22:05:15.450620+00:00,2026-09-06T22:05:20.474099+00:00,True,False,off_track,0,,2044.2,3100,353040.82498993335,114.18033508487096,177.399,2,1,0,0,0,0.0,off track,telemetry/b012-p04-agent8_final.csv.gz
b012-p05-agent7_v4,12,5,12,agent7_v4,Agent 7 v4 (race-line TD3),733123,2026-09-06T22:05:32.222489+00:00,2026-09-06T22:05:40.290495+00:00,True,True,clean_completion,1,107.62,2943.52,5131,493269.4716746875,96.52453412810368,114.625,0,0,0,0,0,0.0,target_laps_completed,telemetry/b012-p05-agent7_v4.csv.gz
b013-p01-dyna_q_final,13,1,13,dyna_q_final,Dyna-Q final,733222,2026-09-06T22:05:53.210557+00:00,2026-09-06T22:06:07.831953+00:00,True,False,completed_unclean,1,266.352,2943.16,12975,517100.2321629123,40.34074552023121,86.3222,92,2,0,0,0,0.0,target_laps_completed,telemetry/b013-p01-dyna_q_final.csv.gz
b013-p02-agent8_final,13,2,13,agent8_final,Agent 8 final (sensor-only TD3),733224,2026-09-06T22:06:19.632732+00:00,2026-09-06T22:06:27.138206+00:00,True,True,clean_completion,1,86.462,2943.39,4169,499631.4987518515,120.17780085466538,190.33,0,0,0,0,0,0.0,target_laps_completed,telemetry/b013-p02-agent8_final.csv.gz
b013-p03-agent7_v4,13,3,13,agent7_v4,Agent 7 v4 (race-line TD3),733223,2026-09-06T22:06:38.933043+00:00,2026-09-06T22:06:48.287265+00:00,True,True,clean_completion,1,108.764,2943.49,5183,492435.34010762104,95.59339654858191,123.201,0,0,0,0,0,0.0,target_laps_completed,telemetry/b013-p03-agent7_v4.csv.gz
b013-p04-rule_based,13,4,13,rule_based,Rule-based,733220,2026-09-06T22:07:00.061913+00:00,2026-09-06T22:07:05.540181+00:00,True,True,clean_completion,1,98.398,2943.98,4712,504489.8503216592,107.11125436546476,201.177,0,0,0,0,0,0.0,target_laps_completed,telemetry/b013-p04-rule_based.csv.gz
b013-p05-map_aware,13,5,13,map_aware,Map-aware,733221,2026-09-06T22:07:17.292181+00:00,2026-09-06T22:07:23.030571+00:00,True,True,clean_completion,1,90.97,2943.59,4374,501213.2878900385,114.92551587105625,205.081,0,0,0,0,0,0.0,target_laps_completed,telemetry/b013-p05-map_aware.csv.gz
b014-p01-rule_based,14,1,14,rule_based,Rule-based,733320,2026-09-06T22:07:34.770302+00:00,2026-09-06T22:07:42.275505+00:00,True,True,clean_completion,1,98.398,2943.98,4712,504489.8503216592,107.11125436546476,201.177,0,0,0,0,0,0.0,target_laps_completed,telemetry/b014-p01-rule_based.csv.gz
b014-p02-map_aware,14,2,14,map_aware,Map-aware,733321,2026-09-06T22:07:54.138212+00:00,2026-09-06T22:08:00.662224+00:00,True,True,clean_completion,1,90.97,2943.59,4374,501213.2878900385,114.92551587105625,205.081,0,0,0,0,0,0.0,target_laps_completed,telemetry/b014-p02-map_aware.csv.gz
